game_id,round_id,consensus_decision,agreement_level,timestamp
b43f8d4a-da2e-450c-a055-6657c0d16b17,3,Eject Agent_2,0.857142857,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,3,Eject Agent_2,0.857142857,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,3,Eject Agent_2,0.857142857,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,3,Eject Agent_2,0.857142857,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,3,Eject Agent_2,0.857142857,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,3,Eject Agent_2,0.857142857,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,3,Eject Agent_2,0.857142857,
a8209c0b-86e7-49a4-87df-032a336a9e1e,3,Eject Agent_2,0.857142857,
5c4615c5-7732-45e6-b33c-45c87ae144ff,1,Eject Agent_4,0.571428571,
1a87a7c4-feea-4e2b-b308-8a2ec236535a,1,Eject Agent_4,0.571428571,
458a598f-6e2a-4d72-a64d-f9936a28f1cc,1,Eject Agent_4,0.571428571,
00622173-7998-490b-926b-fc969937547f,1,Eject Agent_4,0.571428571,
8d118a06-c817-4dfe-ab02-076744d75e58,1,Eject Agent_4,0.571428571,
753afee7-2989-4bff-a7af-1351ead9181f,1,Eject Agent_4,0.571428571,
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,1,Eject Agent_4,0.571428571,
bb29874a-2070-48a6-a25e-7d3f4380589f,1,Eject Agent_4,0.571428571,
5c4615c5-7732-45e6-b33c-45c87ae144ff,10,Max Rounds Reached – Honest Agents Win,1,
1a87a7c4-feea-4e2b-b308-8a2ec236535a,10,Max Rounds Reached – Honest Agents Win,1,
458a598f-6e2a-4d72-a64d-f9936a28f1cc,10,Max Rounds Reached – Honest Agents Win,1,
00622173-7998-490b-926b-fc969937547f,10,Max Rounds Reached – Honest Agents Win,1,
8d118a06-c817-4dfe-ab02-076744d75e58,10,Max Rounds Reached – Honest Agents Win,1,
753afee7-2989-4bff-a7af-1351ead9181f,10,Max Rounds Reached – Honest Agents Win,1,
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,10,Max Rounds Reached – Honest Agents Win,1,
bb29874a-2070-48a6-a25e-7d3f4380589f,10,Max Rounds Reached – Honest Agents Win,1,
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,3,Eject Agent_6,0.285714286,
a5669dac-aeec-45fd-a44b-37d1e680053b,3,Eject Agent_6,0.285714286,
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,3,Eject Agent_6,0.285714286,
00bf24cb-966e-48ef-a6d1-8fd22e718052,3,Eject Agent_6,0.285714286,
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,3,Eject Agent_6,0.285714286,
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,3,Eject Agent_6,0.285714286,
44351127-0db0-4e59-9bad-3c00ce1395f3,3,Eject Agent_6,0.285714286,
