game_id,selected_model,victory_condition,timestamp
b43f8d4a-da2e-450c-a055-6657c0d16b17,All,Ongoing,
cf4ca079-8ccd-490a-a29e-86a8eb9e6c20,All,Ongoing,
7e46236f-54ea-44cb-88f4-a9e6c7f23fb0,All,Ongoing,
c3c3fdab-f458-4c90-8fe2-51ad61ceafce,All,Ongoing,
75e0c9a6-50b5-4c32-86d2-4002fd1671fb,All,Ongoing,
4f1cb3a6-60bd-4b8a-bf1f-f66d299bb101,All,Ongoing,
ee00d321-014b-4b6f-a51a-4bfebc72a84f,All,Ongoing,
a8209c0b-86e7-49a4-87df-032a336a9e1e,All,Ongoing,
5c4615c5-7732-45e6-b33c-45c87ae144ff,All,Ongoing,
1a87a7c4-feea-4e2b-b308-8a2ec236535a,All,Ongoing,
458a598f-6e2a-4d72-a64d-f9936a28f1cc,All,Ongoing,
00622173-7998-490b-926b-fc969937547f,All,Ongoing,
8d118a06-c817-4dfe-ab02-076744d75e58,All,Ongoing,
753afee7-2989-4bff-a7af-1351ead9181f,All,Ongoing,
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,All,Ongoing,
bb29874a-2070-48a6-a25e-7d3f4380589f,All,Ongoing,
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,All,Ongoing,
a5669dac-aeec-45fd-a44b-37d1e680053b,All,Ongoing,
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,All,Ongoing,
00bf24cb-966e-48ef-a6d1-8fd22e718052,All,Ongoing,
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,All,Ongoing,
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,All,Ongoing,
44351127-0db0-4e59-9bad-3c00ce1395f3,All,Ongoing,
05f4445a-79ad-4463-83ca-a1a488940875,All,Ongoing,
85338a1b-798f-43f9-857a-9731b05f97bc,All,Ongoing,
05e0d5c1-4e72-4aba-ab28-72a9f8a43de0,All,Ongoing,
7b539775-4a57-42a5-94b0-73e15a410cf8,All,Ongoing,
af25c292-2660-4129-aba2-118056766867,All,Ongoing,
2c1aab22-fe8a-43ae-95af-7756bbe767ac,All,Ongoing,
db7236d0-f4c9-4cdd-b0eb-0bc9cf41cfe2,All,Ongoing,
58792cf0-0ec6-4f49-908d-086ea8078a25,All,Ongoing,
286c5ae1-572d-4f8b-839c-d9754a8b88ac,All,Ongoing,
90d60d7d-f100-4b1d-a1a9-075a79bf1c51,All,Ongoing,
2458b9c7-0dea-4ef7-be0c-c1f6b3cc7d0f,All,Ongoing,
b8ecc008-b15c-44be-b1ba-6607a61139e6,All,Ongoing,
628fc78f-3b9a-4dfc-98c8-ba599006b3be,All,Ongoing,
5b2531c8-841d-49cf-9b2d-452186bdc78b,All,Ongoing,
a7701777-4ad7-496a-ab5b-66ad18be0851,All,Ongoing,
7993634a-1e96-4d38-b275-fe1b40cc9321,All,Ongoing,
84ec172f-533d-4af0-8bd4-749005857060,All,Ongoing,
9f4c1f59-8d39-492c-bd06-a726affbaa5b,All,Ongoing,
a730ba03-4d10-4899-b811-0bf725570ea1,All,Ongoing,
87db8f98-4c9f-4449-bf96-013d8dfcb99a,All,Ongoing,
af257edf-4f49-4ca5-8a12-21852f7abb6f,All,Ongoing,
9003d21e-ca0f-44d1-b4fd-835cadc915e9,All,Ongoing,
e708e462-9cba-4242-8ed6-8bd7aee2cb49,All,Ongoing,
7c8eca9c-0c77-4c77-a495-a19354780aff,All,Ongoing,
ca31d829-f6af-4ca6-b7e1-c1e7d133fe7a,All,Ongoing,
9e979625-220b-4439-a177-eeba279c8442,All,Ongoing,
febb1d3e-d6e4-440e-b9e5-53175762096f,All,Ongoing,
41fb0d82-b53d-4b09-8f53-cd772e6c43b9,All,Ongoing,
eaad0178-c22f-4ef1-8877-ca709d03184c,All,Ongoing,
95461087-0d49-4e17-8e60-59ca3ee0ba87,All,Ongoing,
ee529d71-befa-40d9-88e9-032e7d94d771,All,Ongoing,
3e9ffb52-b6ae-4705-b03c-d0c25257ba83,All,Ongoing,
215a2cff-639e-4cc0-b883-d784652012cf,All,Ongoing,
1b886402-4573-42e9-ae90-d631a57c9174,All,Ongoing,
89973d0c-941e-40e8-8ca4-1cff13165482,All,Ongoing,
af0d5c65-d3c7-4a22-a0c2-f271954f5c2d,All,Ongoing,
8ba09076-b7a6-497a-a376-46ab43bdb6da,All,Ongoing,
c457cc6c-1e8b-479c-a86f-15493d2db053,All,Ongoing,
9c92555e-73bc-45b5-8f5a-c3b8123d4cf2,All,Ongoing,
d8ecc2f1-358f-4895-81eb-1ed19dfbc183,All,Ongoing,
9ff9f4f1-2ba4-488d-b831-da8d092bd8c2,All,Ongoing,
a1a9d328-bfd3-4a21-9977-8478ad9e6d6c,All,Ongoing,
e342f29b-af29-4675-87d6-08e8646aa51a,All,Ongoing,
d07704b0-90d9-42a2-99d7-a81e5ccb93e3,All,Ongoing,
ad31b100-f50d-4d80-8444-b0a8947d074f,All,Ongoing,
e2e784ec-43ed-4e99-942c-7e5545b8fcb6,All,Ongoing,
517da799-6d1a-4243-b456-98df6ac8f519,All,Ongoing,
24a8f5fd-d18e-497d-8867-4fc9c0824969,All,Ongoing,
1904e59b-913d-4dc5-832f-49d0952d1e94,All,Ongoing,
b96959a3-6afc-4847-917a-8f1c36f5ba93,All,Ongoing,
11f973de-d800-486b-9316-e1f4c5c46345,All,Ongoing,
8bdbe826-7f36-4590-95d5-e2226e3a07f8,All,Ongoing,
3adcd916-e4d1-49a8-bb6b-4851634193eb,All,Ongoing,
d0a60090-9644-4b7d-b2b2-01b236c6dc3e,All,Ongoing,
5287f168-5f5e-4f36-87ce-32c3405f56f3,All,Ongoing,
443e1e19-7c28-4ab3-8be7-dc9d898a6902,All,Ongoing,
8a8de993-90ea-401e-abfe-898f2ba50360,All,Ongoing,
